CustomerID,Name,ContactInfo,LanguagePreference,KYCStatus,AMLStatus,GDPRConsent,DPDPConsent,DateOfBirth,Password
1,Erika Williams,kelly47@johnson.com,Hindi,Verified,Clear,FALSE,FALSE,3/6/1945,test12345
2,Mike Green,carlosstewart@allen.info,French,Expired,Flagged,TRUE,FALSE,8/29/1948,test12346
3,Brandon Wagner,christineboyd@morgan-taylor.org,English,Pending,Clear,FALSE,TRUE,3/15/1992,test12347
4,Donald Williams,princeangela@avila.com,French,Pending,Flagged,TRUE,TRUE,9/14/1944,test12348
5,Thomas Miller,johnny72@yahoo.com,Hindi,Verified,Clear,FALSE,FALSE,1/19/1950,test12349
6,Jasmine Ellis,mikayla82@gmail.com,German,Pending,Clear,TRUE,TRUE,9/19/1961,test12350
7,Rachel Gibbs,bentleylisa@grant.com,Spanish,Verified,Clear,TRUE,FALSE,7/19/1960,test12351
8,Paul Jacobs,williamshaw@gmail.com,French,Expired,Flagged,FALSE,TRUE,9/2/1945,test12352
9,Alex Rodriguez,csmith@jackson.com,German,Verified,Flagged,TRUE,FALSE,12/25/2000,test12353
10,Timothy Brown,tyler16@hotmail.com,Chinese,Pending,Clear,TRUE,FALSE,11/1/1972,test12354
11,Martha Walker,wadams@hotmail.com,Chinese,Expired,Flagged,TRUE,FALSE,3/17/1979,test12355
12,Stephanie Weeks,schwartzjohn@hodge.com,Chinese,Pending,Clear,TRUE,FALSE,12/14/1957,test12356
13,Calvin Anderson,stevenguerra@reed.biz,French,Pending,Flagged,TRUE,TRUE,1/16/1990,test12357
14,Derrick Gibson,shawn16@gmail.com,Hindi,Expired,Clear,TRUE,TRUE,5/26/1967,test12358
15,Beth Wilson,lynncantrell@gmail.com,German,Verified,Flagged,FALSE,FALSE,2/12/2006,test12359
16,Michelle Hammond,riverapaul@leon.com,English,Pending,Flagged,FALSE,TRUE,8/8/1975,test12360
17,Grant Brown,jason55@cox-perkins.biz,English,Verified,Flagged,FALSE,FALSE,7/12/1990,test12361
18,Grant Adams,skinnerroger@carroll.com,Chinese,Expired,Clear,TRUE,FALSE,11/18/1980,test12362
19,Gary Roman,matthew95@gmail.com,Hindi,Expired,Flagged,TRUE,FALSE,12/21/1958,test12363
20,Christopher Trevino,janderson@holmes.com,German,Verified,Clear,FALSE,FALSE,5/6/1960,test12364
21,Sean Dean,danielle40@gmail.com,English,Pending,Clear,TRUE,TRUE,7/12/1991,test12365
22,James Smith,melissa16@gmail.com,Arabic,Expired,Clear,TRUE,TRUE,11/23/1988,test12366
23,Whitney Schwartz,jacksonsheila@gmail.com,German,Verified,Clear,FALSE,TRUE,12/1/1985,test12367
24,Tracy Williams,john55@hotmail.com,German,Pending,Flagged,TRUE,FALSE,4/17/1968,test12368
25,Gabriela Martin,denisestephens@lewis.info,Spanish,Pending,Clear,TRUE,TRUE,12/4/1988,test12369
26,Robert Galvan,marktyler@clayton.com,Arabic,Pending,Clear,TRUE,FALSE,8/5/2003,test12370
27,Thomas Thomas,karenjensen@hotmail.com,Arabic,Expired,Clear,FALSE,TRUE,6/23/1988,test12371
28,Virginia Barnes,benjaminbryan@mcdonald-bennett.info,English,Pending,Clear,TRUE,FALSE,1/22/1991,test12372
29,Mitchell Thomas,castanedajessica@dixon-cabrera.com,Spanish,Expired,Clear,FALSE,FALSE,10/19/1984,test12373
30,Scott Schultz,wattsapril@harris-owens.net,Hindi,Expired,Clear,FALSE,FALSE,5/24/1989,test12374
31,John Carter,cthompson@yahoo.com,Chinese,Expired,Flagged,TRUE,FALSE,3/19/1970,test12375
32,Lisa Frost,gonzalezshawn@simon-pineda.info,German,Pending,Flagged,TRUE,FALSE,2/10/1985,test12376
